#{"t_start": 1694525577.1528652, "env_id": "None"}
r,l,t,total_reward
76.0,25,1.500484,76
60.0,25,2.925031,60
51.0,25,4.149441,51
68.0,25,5.527705,68
66.0,25,6.931165,66
60.0,25,8.42195,60
82.0,25,9.885489,82
86.0,25,12.019106,86
78.0,25,13.364856,78
67.0,25,14.635789,67
73.0,25,15.971528,73
60.0,25,17.442815,60
88.0,25,18.798635,88
67.0,25,20.285372,67
59.0,25,22.22842,59
59.0,25,23.740326,59
62.0,25,25.170712,62
96.0,25,26.503622,96
90.0,25,28.006812,90
78.0,25,29.398653,78
77.0,25,30.87439,77
69.0,25,32.303442,69
47.0,25,33.660546,47
66.0,25,35.116887,66
58.0,25,36.508695,58
62.0,25,38.428771,62
65.0,25,39.91659,65
70.0,25,41.855893,70
61.0,25,44.132402,61
59.0,25,45.980534,59
76.0,25,47.56661,76
77.0,25,49.022942,77
70.0,25,51.802145,70
84.0,25,53.435188,84
79.0,25,54.980394,79
68.0,25,56.487193,68
73.0,25,57.960419,73
75.0,25,59.337928,75
70.0,25,60.741901,70
69.0,25,62.157794,69
90.0,25,63.570416,90
79.0,25,65.062963,79
79.0,25,66.502151,79
91.0,25,67.809485,91
67.0,25,69.2063,67
57.0,25,71.164294,57
81.0,25,72.668638,81
71.0,25,74.865689,71
70.0,25,77.387072,70
70.0,25,79.485818,70
88.0,25,81.070339,88
112.0,25,82.61958,112
75.0,25,84.178361,75
62.0,25,85.731138,62
65.0,25,87.253739,65
76.0,25,88.696784,76
73.0,25,90.263135,73
77.0,25,91.799616,77
95.0,25,93.273155,95
88.0,25,94.672517,88
85.0,25,96.182022,85
81.0,25,97.76205,81
82.0,25,99.199232,82
56.0,25,101.144347,56
88.0,25,104.212119,88
47.0,25,109.312143,47
103.0,25,111.271034,103
75.0,25,112.920787,75
86.0,25,114.574546,86
36.0,25,116.170999,36
54.0,25,117.768955,54
85.0,25,120.256621,85
81.0,25,123.560618,81
79.0,25,127.751134,79
79.0,25,129.408297,79
81.0,25,130.97309,81
65.0,25,132.605276,65
81.0,25,134.288927,81
78.0,25,136.703122,78
80.0,25,140.363423,80
67.0,25,144.056789,67
58.0,25,145.739655,58
56.0,25,147.309325,56
79.0,25,148.847044,79
88.0,25,150.398688,88
48.0,25,152.204577,48
80.0,25,155.267473,80
83.0,25,159.828665,83
54.0,25,162.497315,54
97.0,25,164.072161,97
80.0,25,165.613301,80
68.0,25,167.11181,68
48.0,25,168.521984,48
93.0,25,170.040634,93
63.0,25,171.534758,63
94.0,25,173.171682,94
67.0,25,174.672615,67
51.0,25,176.617244,51
56.0,25,180.403815,56
67.0,25,182.187577,67
