#{"t_start": 1692690946.633988, "env_id": "None"}
r,l,t,reward
-219.0,25,2.461001,2
30.0,25,3.486998,1
0.0,25,4.237998,0
1.0,25,4.891555,0
1.0,25,5.702536,0
24.0,25,6.717535,1
6.0,25,7.33202,0
1.0,25,8.076541,0
0.0,25,8.794711,0
1.0,25,9.586298,0
-270.0,25,10.434297,-23
2.0,25,11.149297,0
-270.0,25,12.172297,-23
21.0,25,13.066297,1
0.0,25,13.882776,0
6.0,25,14.777201,-6
-256.0,25,15.700205,-23
10.0,25,16.285805,1
25.0,25,17.239908,1
-269.0,25,18.289704,-23
27.0,25,19.220447,1
1.0,25,19.874533,0
4.0,25,20.551534,0
2.0,25,21.363455,0
0.0,25,22.127454,0
-269.0,25,23.038085,-23
3.0,25,23.870167,0
-254.0,25,24.83181,-23
26.0,25,25.748627,1
0.0,25,26.436627,0
20.0,25,27.333629,1
1.0,25,28.004629,0
28.0,25,28.931493,1
29.0,25,29.899454,1
19.0,25,30.914579,1
20.0,25,31.845389,1
1.0,25,32.658399,0
1.0,25,33.704465,0
