episode,avg_pods,avg_latency,reward,execution_time
1,48.2,1069.2591,21.0,1.15
episode,avg_pods,avg_latency,reward,execution_time
2,41.0,1069.8132,33.0,0.89
episode,avg_pods,avg_latency,reward,execution_time
3,57.52,1002.1947,5.0,0.87
episode,avg_pods,avg_latency,reward,execution_time
4,48.72,1036.4364,21.0,0.88
episode,avg_pods,avg_latency,reward,execution_time
5,54.32,1012.5147,-3.0,0.91
episode,avg_pods,avg_latency,reward,execution_time
6,49.56,1020.2909,6.0,0.93
episode,avg_pods,avg_latency,reward,execution_time
7,34.08,1027.7489,69.0,0.91
episode,avg_pods,avg_latency,reward,execution_time
8,47.16,1002.0718,25.0,0.91
episode,avg_pods,avg_latency,reward,execution_time
9,33.8,1042.3502,11.0,0.95
episode,avg_pods,avg_latency,reward,execution_time
10,59.72,1008.3472,16.0,0.93
episode,avg_pods,avg_latency,reward,execution_time
11,52.08,1063.4119,15.0,0.9
episode,avg_pods,avg_latency,reward,execution_time
12,35.6,1033.1406,20.0,0.88
episode,avg_pods,avg_latency,reward,execution_time
13,59.68,1097.0564,9.0,0.78
episode,avg_pods,avg_latency,reward,execution_time
14,45.96,1027.6242,0.0,0.83
episode,avg_pods,avg_latency,reward,execution_time
15,41.04,995.4038,9.0,0.86
episode,avg_pods,avg_latency,reward,execution_time
16,33.04,1046.0363,20.0,0.84
episode,avg_pods,avg_latency,reward,execution_time
17,41.8,1041.6126,20.0,0.87
episode,avg_pods,avg_latency,reward,execution_time
18,47.68,1040.4799,28.0,0.91
episode,avg_pods,avg_latency,reward,execution_time
19,50.6,1014.7521,13.0,0.9
episode,avg_pods,avg_latency,reward,execution_time
20,28.24,1006.0294,44.0,0.88
episode,avg_pods,avg_latency,reward,execution_time
21,54.6,1261.6578,20.0,0.92
episode,avg_pods,avg_latency,reward,execution_time
22,43.0,1097.8918,24.0,1.02
episode,avg_pods,avg_latency,reward,execution_time
23,57.12,1041.7064,1.0,0.82
episode,avg_pods,avg_latency,reward,execution_time
24,59.68,1075.2351,5.0,0.89
episode,avg_pods,avg_latency,reward,execution_time
25,54.36,1133.4766,31.0,0.86
episode,avg_pods,avg_latency,reward,execution_time
26,39.76,1009.8202,19.0,0.85
episode,avg_pods,avg_latency,reward,execution_time
27,43.4,1015.5694,35.0,0.92
episode,avg_pods,avg_latency,reward,execution_time
28,45.64,1068.2446,22.0,0.9
episode,avg_pods,avg_latency,reward,execution_time
29,42.68,998.3848,75.0,0.95
episode,avg_pods,avg_latency,reward,execution_time
30,50.08,1062.2343,17.0,0.89
episode,avg_pods,avg_latency,reward,execution_time
31,45.24,1000.8564,-4.0,0.92
episode,avg_pods,avg_latency,reward,execution_time
32,54.76,1058.9466,29.0,1.0
episode,avg_pods,avg_latency,reward,execution_time
33,55.68,1029.3034,5.0,1.07
episode,avg_pods,avg_latency,reward,execution_time
34,47.08,1056.0903,43.0,0.83
episode,avg_pods,avg_latency,reward,execution_time
35,51.6,1047.0305,39.0,1.08
episode,avg_pods,avg_latency,reward,execution_time
36,49.92,1027.3722,11.0,1.03
episode,avg_pods,avg_latency,reward,execution_time
37,55.8,1071.0714,8.0,0.86
episode,avg_pods,avg_latency,reward,execution_time
38,50.08,1070.5506,26.0,0.88
episode,avg_pods,avg_latency,reward,execution_time
39,55.84,1011.3189,12.0,0.93
episode,avg_pods,avg_latency,reward,execution_time
40,44.0,1078.508,18.0,0.83
episode,avg_pods,avg_latency,reward,execution_time
41,30.96,1010.3994,30.0,0.95
episode,avg_pods,avg_latency,reward,execution_time
42,55.68,1033.82,10.0,0.85
episode,avg_pods,avg_latency,reward,execution_time
43,52.32,1045.5985,3.0,0.79
episode,avg_pods,avg_latency,reward,execution_time
44,58.32,1025.4596,-8.0,0.85
episode,avg_pods,avg_latency,reward,execution_time
45,60.56,1037.1415,-29.0,0.85
episode,avg_pods,avg_latency,reward,execution_time
46,46.68,1025.4166,17.0,0.84
episode,avg_pods,avg_latency,reward,execution_time
47,51.36,1009.0673,-2.0,0.78
episode,avg_pods,avg_latency,reward,execution_time
48,66.72,1003.6933,13.0,0.85
episode,avg_pods,avg_latency,reward,execution_time
49,49.76,1024.2058,16.0,0.88
episode,avg_pods,avg_latency,reward,execution_time
50,53.0,1036.7945,1.0,0.8
episode,avg_pods,avg_latency,reward,execution_time
51,34.2,1011.7924,9.0,0.84
episode,avg_pods,avg_latency,reward,execution_time
52,42.2,1001.5042,33.0,0.9
episode,avg_pods,avg_latency,reward,execution_time
53,38.12,1018.6096,14.0,0.88
episode,avg_pods,avg_latency,reward,execution_time
54,55.44,1059.6486,28.0,0.87
episode,avg_pods,avg_latency,reward,execution_time
55,30.84,1012.6768,18.0,0.84
episode,avg_pods,avg_latency,reward,execution_time
56,54.32,1029.9526,20.0,0.9
episode,avg_pods,avg_latency,reward,execution_time
57,62.4,1013.5928,2.0,0.9
episode,avg_pods,avg_latency,reward,execution_time
58,55.72,1081.5974,3.0,0.86
episode,avg_pods,avg_latency,reward,execution_time
59,54.92,1009.1219,19.0,0.94
episode,avg_pods,avg_latency,reward,execution_time
60,47.52,1068.7849,5.0,0.9
episode,avg_pods,avg_latency,reward,execution_time
61,41.48,1000.7228,21.0,0.94
episode,avg_pods,avg_latency,reward,execution_time
62,34.44,1025.8044,38.0,0.95
episode,avg_pods,avg_latency,reward,execution_time
63,28.12,1056.9047,3.0,0.9
episode,avg_pods,avg_latency,reward,execution_time
64,59.04,1030.8696,18.0,0.91
episode,avg_pods,avg_latency,reward,execution_time
65,32.24,999.8256,47.0,0.9
episode,avg_pods,avg_latency,reward,execution_time
66,58.0,1090.596,24.0,0.84
episode,avg_pods,avg_latency,reward,execution_time
67,51.12,1029.1879,39.0,0.79
episode,avg_pods,avg_latency,reward,execution_time
68,56.28,1106.9173,17.0,0.86
episode,avg_pods,avg_latency,reward,execution_time
69,50.88,1061.5047,22.0,0.81
episode,avg_pods,avg_latency,reward,execution_time
70,51.96,1009.1633,11.0,0.84
episode,avg_pods,avg_latency,reward,execution_time
71,55.92,1007.6956,15.0,1.08
episode,avg_pods,avg_latency,reward,execution_time
72,62.44,1022.8075,-5.0,0.8
episode,avg_pods,avg_latency,reward,execution_time
73,39.6,1078.2892,27.0,0.88
episode,avg_pods,avg_latency,reward,execution_time
74,54.04,1005.3691,12.0,0.82
episode,avg_pods,avg_latency,reward,execution_time
75,63.96,1078.785,11.0,0.88
episode,avg_pods,avg_latency,reward,execution_time
76,48.08,1040.1944,35.0,0.86
episode,avg_pods,avg_latency,reward,execution_time
77,52.84,1026.4282,6.0,0.84
episode,avg_pods,avg_latency,reward,execution_time
78,45.2,1016.0172,23.0,0.82
episode,avg_pods,avg_latency,reward,execution_time
79,41.6,1222.9148,17.0,0.92
episode,avg_pods,avg_latency,reward,execution_time
80,52.96,1041.2604,8.0,0.82
episode,avg_pods,avg_latency,reward,execution_time
81,43.76,1052.094,40.0,1.62
episode,avg_pods,avg_latency,reward,execution_time
82,55.8,1007.1085,33.0,1.51
episode,avg_pods,avg_latency,reward,execution_time
83,52.8,1029.7615,21.0,1.24
episode,avg_pods,avg_latency,reward,execution_time
84,49.08,1047.1055,9.0,0.91
episode,avg_pods,avg_latency,reward,execution_time
85,38.44,1022.2895,26.0,0.91
episode,avg_pods,avg_latency,reward,execution_time
86,44.04,1115.0135,-6.0,0.95
episode,avg_pods,avg_latency,reward,execution_time
87,65.36,1013.7355,16.0,2.03
episode,avg_pods,avg_latency,reward,execution_time
88,24.72,993.1472,31.0,0.8
episode,avg_pods,avg_latency,reward,execution_time
89,35.52,1003.4821,39.0,0.86
episode,avg_pods,avg_latency,reward,execution_time
90,46.8,1034.0804,45.0,0.84
episode,avg_pods,avg_latency,reward,execution_time
91,53.64,1009.2292,11.0,0.76
episode,avg_pods,avg_latency,reward,execution_time
92,64.2,1092.9132,26.0,0.8
episode,avg_pods,avg_latency,reward,execution_time
93,32.56,1014.4897,9.0,0.75
episode,avg_pods,avg_latency,reward,execution_time
94,47.72,1021.5692,7.0,0.85
episode,avg_pods,avg_latency,reward,execution_time
95,41.72,1050.0211,80.0,0.94
episode,avg_pods,avg_latency,reward,execution_time
96,39.0,1002.5958,45.0,0.81
episode,avg_pods,avg_latency,reward,execution_time
97,49.84,1136.2886,33.0,0.89
episode,avg_pods,avg_latency,reward,execution_time
98,34.52,1006.321,18.0,0.76
episode,avg_pods,avg_latency,reward,execution_time
99,59.88,1049.4938,-6.0,0.72
episode,avg_pods,avg_latency,reward,execution_time
100,49.76,1031.5939,12.0,0.79
episode,avg_pods,avg_latency,reward,execution_time
101,37.92,1035.0079,50.0,0.89
episode,avg_pods,avg_latency,reward,execution_time
102,44.36,1030.1996,43.0,0.91
episode,avg_pods,avg_latency,reward,execution_time
103,48.28,1068.4617,41.0,0.85
episode,avg_pods,avg_latency,reward,execution_time
104,32.4,1014.9378,86.0,0.87
episode,avg_pods,avg_latency,reward,execution_time
105,56.0,1015.0771,11.0,0.77
episode,avg_pods,avg_latency,reward,execution_time
106,53.08,1053.4543,45.0,0.79
episode,avg_pods,avg_latency,reward,execution_time
107,48.24,1021.1101,20.0,1.0
episode,avg_pods,avg_latency,reward,execution_time
108,45.84,1060.7986,35.0,0.82
episode,avg_pods,avg_latency,reward,execution_time
109,47.72,1039.5891,37.0,0.75
episode,avg_pods,avg_latency,reward,execution_time
110,46.4,1065.5637,16.0,0.83
episode,avg_pods,avg_latency,reward,execution_time
111,47.12,989.2205,38.0,0.76
episode,avg_pods,avg_latency,reward,execution_time
112,47.64,1028.0135,29.0,0.71
episode,avg_pods,avg_latency,reward,execution_time
113,25.36,991.827,67.0,0.73
episode,avg_pods,avg_latency,reward,execution_time
114,45.96,1066.4685,16.0,0.74
episode,avg_pods,avg_latency,reward,execution_time
115,45.72,1124.6547,2.0,0.73
episode,avg_pods,avg_latency,reward,execution_time
116,50.52,1011.9719,42.0,0.79
episode,avg_pods,avg_latency,reward,execution_time
117,28.84,1001.5504,43.0,0.76
episode,avg_pods,avg_latency,reward,execution_time
118,60.64,1076.033,30.0,0.72
episode,avg_pods,avg_latency,reward,execution_time
119,54.72,1026.6955,42.0,0.83
episode,avg_pods,avg_latency,reward,execution_time
120,62.84,1043.6772,6.0,0.79
episode,avg_pods,avg_latency,reward,execution_time
121,46.32,1015.0308,-5.0,0.94
episode,avg_pods,avg_latency,reward,execution_time
122,56.72,1004.4107,1.0,0.7
episode,avg_pods,avg_latency,reward,execution_time
123,52.88,1007.9668,35.0,0.78
episode,avg_pods,avg_latency,reward,execution_time
124,55.8,1056.7725,13.0,0.73
episode,avg_pods,avg_latency,reward,execution_time
125,52.8,1020.8195,30.0,0.82
episode,avg_pods,avg_latency,reward,execution_time
126,54.32,984.7312,14.0,0.78
episode,avg_pods,avg_latency,reward,execution_time
127,54.88,1012.5536,69.0,0.8
episode,avg_pods,avg_latency,reward,execution_time
128,49.36,1024.285,34.0,0.76
episode,avg_pods,avg_latency,reward,execution_time
129,51.84,1074.522,15.0,0.78
episode,avg_pods,avg_latency,reward,execution_time
130,53.64,1039.5094,20.0,0.75
episode,avg_pods,avg_latency,reward,execution_time
131,29.96,1035.9604,35.0,0.85
episode,avg_pods,avg_latency,reward,execution_time
132,54.96,1012.5061,-2.0,0.78
episode,avg_pods,avg_latency,reward,execution_time
133,51.52,1079.3418,27.0,0.79
episode,avg_pods,avg_latency,reward,execution_time
134,42.6,999.783,12.0,0.74
episode,avg_pods,avg_latency,reward,execution_time
135,46.0,1026.9962,34.0,0.71
episode,avg_pods,avg_latency,reward,execution_time
136,48.04,1031.2738,26.0,0.84
episode,avg_pods,avg_latency,reward,execution_time
137,52.76,1178.3418,31.0,0.78
episode,avg_pods,avg_latency,reward,execution_time
138,38.52,1012.6522,27.0,0.91
episode,avg_pods,avg_latency,reward,execution_time
139,68.24,1030.7484,3.0,0.76
episode,avg_pods,avg_latency,reward,execution_time
140,48.12,1060.534,42.0,0.75
episode,avg_pods,avg_latency,reward,execution_time
141,35.4,1063.7371,53.0,0.9
episode,avg_pods,avg_latency,reward,execution_time
142,60.92,1023.672,28.0,0.84
episode,avg_pods,avg_latency,reward,execution_time
143,52.16,1068.3649,3.0,0.85
episode,avg_pods,avg_latency,reward,execution_time
144,38.84,1000.8865,29.0,0.79
episode,avg_pods,avg_latency,reward,execution_time
145,38.32,992.1428,42.0,0.84
episode,avg_pods,avg_latency,reward,execution_time
146,46.52,1027.8719,32.0,0.83
episode,avg_pods,avg_latency,reward,execution_time
147,35.48,1022.8572,57.0,0.78
episode,avg_pods,avg_latency,reward,execution_time
148,52.96,1031.482,10.0,0.78
episode,avg_pods,avg_latency,reward,execution_time
149,52.4,1055.5374,62.0,0.8
episode,avg_pods,avg_latency,reward,execution_time
150,43.76,1059.2246,43.0,0.85
episode,avg_pods,avg_latency,reward,execution_time
151,43.52,1038.6576,74.0,0.78
episode,avg_pods,avg_latency,reward,execution_time
152,43.88,1022.0836,71.0,0.77
episode,avg_pods,avg_latency,reward,execution_time
153,47.92,1032.3114,7.0,0.75
episode,avg_pods,avg_latency,reward,execution_time
154,56.72,1043.7493,-2.0,0.79
episode,avg_pods,avg_latency,reward,execution_time
155,45.24,1030.1215,76.0,0.76
episode,avg_pods,avg_latency,reward,execution_time
156,33.52,1006.7371,10.0,0.82
episode,avg_pods,avg_latency,reward,execution_time
157,54.52,993.195,26.0,0.79
episode,avg_pods,avg_latency,reward,execution_time
158,34.08,1044.0235,72.0,0.82
episode,avg_pods,avg_latency,reward,execution_time
159,43.92,1011.927,44.0,0.88
episode,avg_pods,avg_latency,reward,execution_time
160,53.56,994.8681,44.0,0.78
episode,avg_pods,avg_latency,reward,execution_time
161,46.44,1020.2988,42.0,0.88
episode,avg_pods,avg_latency,reward,execution_time
162,41.4,1002.4263,16.0,0.79
episode,avg_pods,avg_latency,reward,execution_time
163,46.96,989.4674,40.0,0.83
episode,avg_pods,avg_latency,reward,execution_time
164,27.68,1019.9272,36.0,0.85
episode,avg_pods,avg_latency,reward,execution_time
165,48.28,1021.3541,53.0,0.8
episode,avg_pods,avg_latency,reward,execution_time
166,48.96,1046.2844,26.0,0.74
episode,avg_pods,avg_latency,reward,execution_time
167,34.68,981.1436,31.0,0.82
episode,avg_pods,avg_latency,reward,execution_time
168,41.84,1029.1163,41.0,0.82
episode,avg_pods,avg_latency,reward,execution_time
169,46.84,1049.8712,65.0,0.81
episode,avg_pods,avg_latency,reward,execution_time
170,34.6,1016.666,52.0,0.85
episode,avg_pods,avg_latency,reward,execution_time
171,48.76,1038.0223,30.0,0.8
episode,avg_pods,avg_latency,reward,execution_time
172,59.48,997.9076,-6.0,0.77
episode,avg_pods,avg_latency,reward,execution_time
173,43.4,1006.8731,69.0,0.88
episode,avg_pods,avg_latency,reward,execution_time
174,51.8,994.3255,30.0,0.85
episode,avg_pods,avg_latency,reward,execution_time
175,54.0,1023.4789,21.0,0.95
episode,avg_pods,avg_latency,reward,execution_time
176,65.04,1061.7999,30.0,0.87
episode,avg_pods,avg_latency,reward,execution_time
177,53.48,1030.1502,28.0,0.77
episode,avg_pods,avg_latency,reward,execution_time
178,36.88,1002.7245,26.0,0.8
episode,avg_pods,avg_latency,reward,execution_time
179,30.84,1005.0452,36.0,0.86
episode,avg_pods,avg_latency,reward,execution_time
180,57.52,1029.4192,16.0,0.85
episode,avg_pods,avg_latency,reward,execution_time
181,62.6,1054.2699,0.0,0.9
episode,avg_pods,avg_latency,reward,execution_time
182,60.12,1056.1837,13.0,0.91
episode,avg_pods,avg_latency,reward,execution_time
183,41.2,1096.7172,38.0,0.85
episode,avg_pods,avg_latency,reward,execution_time
184,43.6,1027.108,27.0,0.88
episode,avg_pods,avg_latency,reward,execution_time
185,45.2,1040.9026,24.0,0.79
episode,avg_pods,avg_latency,reward,execution_time
186,37.32,1083.0669,35.0,0.79
episode,avg_pods,avg_latency,reward,execution_time
187,60.4,1051.6854,5.0,0.87
episode,avg_pods,avg_latency,reward,execution_time
188,56.92,1007.0897,32.0,0.87
episode,avg_pods,avg_latency,reward,execution_time
189,52.12,1023.3988,25.0,0.91
episode,avg_pods,avg_latency,reward,execution_time
190,49.84,1022.3154,-3.0,1.53
episode,avg_pods,avg_latency,reward,execution_time
191,37.0,1051.9974,27.0,1.23
episode,avg_pods,avg_latency,reward,execution_time
192,53.76,1033.3943,-1.0,0.86
episode,avg_pods,avg_latency,reward,execution_time
193,40.88,1026.9835,56.0,0.97
episode,avg_pods,avg_latency,reward,execution_time
194,49.92,1011.5276,28.0,0.86
episode,avg_pods,avg_latency,reward,execution_time
195,57.32,1015.4174,24.0,0.93
episode,avg_pods,avg_latency,reward,execution_time
196,49.08,1011.9621,37.0,1.01
episode,avg_pods,avg_latency,reward,execution_time
197,43.2,1002.6021,20.0,0.94
episode,avg_pods,avg_latency,reward,execution_time
198,57.68,990.5056,25.0,1.16
episode,avg_pods,avg_latency,reward,execution_time
199,46.52,1043.261,7.0,1.18
episode,avg_pods,avg_latency,reward,execution_time
200,38.48,989.9623,28.0,0.93
episode,avg_pods,avg_latency,reward,execution_time
201,18.52,1008.7641,58.0,0.84
episode,avg_pods,avg_latency,reward,execution_time
202,56.72,998.6342,40.0,0.81
episode,avg_pods,avg_latency,reward,execution_time
203,32.08,1012.0372,24.0,1.03
episode,avg_pods,avg_latency,reward,execution_time
204,41.88,1015.2182,21.0,0.98
episode,avg_pods,avg_latency,reward,execution_time
205,43.84,1034.196,5.0,0.91
episode,avg_pods,avg_latency,reward,execution_time
206,53.8,1091.7405,33.0,0.85
episode,avg_pods,avg_latency,reward,execution_time
207,36.04,1017.1719,44.0,0.86
episode,avg_pods,avg_latency,reward,execution_time
208,52.92,1028.0702,17.0,0.92
episode,avg_pods,avg_latency,reward,execution_time
209,48.52,1053.6646,11.0,2.69
episode,avg_pods,avg_latency,reward,execution_time
210,50.72,1026.1028,33.0,0.97
episode,avg_pods,avg_latency,reward,execution_time
211,47.36,994.4393,43.0,0.91
episode,avg_pods,avg_latency,reward,execution_time
212,42.68,983.5672,51.0,0.91
episode,avg_pods,avg_latency,reward,execution_time
213,63.56,1028.8862,31.0,0.83
episode,avg_pods,avg_latency,reward,execution_time
214,46.88,1024.218,15.0,0.86
episode,avg_pods,avg_latency,reward,execution_time
215,55.6,1039.2178,21.0,0.74
episode,avg_pods,avg_latency,reward,execution_time
216,61.32,1038.847,35.0,0.94
episode,avg_pods,avg_latency,reward,execution_time
217,51.44,1062.3898,22.0,0.78
episode,avg_pods,avg_latency,reward,execution_time
218,55.08,1039.2374,33.0,0.82
episode,avg_pods,avg_latency,reward,execution_time
219,43.64,1014.9153,13.0,0.73
episode,avg_pods,avg_latency,reward,execution_time
220,49.52,1037.0439,53.0,0.73
episode,avg_pods,avg_latency,reward,execution_time
221,33.64,1029.013,45.0,0.84
episode,avg_pods,avg_latency,reward,execution_time
222,61.32,1022.474,2.0,0.76
episode,avg_pods,avg_latency,reward,execution_time
223,25.96,1038.6308,14.0,0.77
episode,avg_pods,avg_latency,reward,execution_time
224,45.6,1027.1569,67.0,0.79
episode,avg_pods,avg_latency,reward,execution_time
225,44.12,1017.0069,10.0,0.79
episode,avg_pods,avg_latency,reward,execution_time
226,48.6,1024.5369,52.0,0.97
episode,avg_pods,avg_latency,reward,execution_time
227,45.88,1022.2812,9.0,0.77
episode,avg_pods,avg_latency,reward,execution_time
228,38.76,1129.8867,59.0,0.79
episode,avg_pods,avg_latency,reward,execution_time
229,25.92,994.1906,78.0,0.69
episode,avg_pods,avg_latency,reward,execution_time
230,35.12,996.8836,29.0,0.72
episode,avg_pods,avg_latency,reward,execution_time
231,52.88,1033.6308,34.0,0.91
episode,avg_pods,avg_latency,reward,execution_time
232,24.08,1008.956,67.0,0.77
episode,avg_pods,avg_latency,reward,execution_time
233,59.36,1030.2324,27.0,0.77
episode,avg_pods,avg_latency,reward,execution_time
234,45.96,1061.1289,44.0,0.79
episode,avg_pods,avg_latency,reward,execution_time
235,40.4,1154.7402,4.0,0.8
episode,avg_pods,avg_latency,reward,execution_time
236,53.8,1043.3324,37.0,0.83
episode,avg_pods,avg_latency,reward,execution_time
237,51.0,1029.0524,0.0,0.76
episode,avg_pods,avg_latency,reward,execution_time
238,37.0,1012.7786,34.0,0.76
episode,avg_pods,avg_latency,reward,execution_time
239,56.0,1054.4281,10.0,0.75
episode,avg_pods,avg_latency,reward,execution_time
240,34.56,994.5054,48.0,0.77
episode,avg_pods,avg_latency,reward,execution_time
241,49.84,998.0569,25.0,0.81
episode,avg_pods,avg_latency,reward,execution_time
242,29.08,996.1111,31.0,0.74
episode,avg_pods,avg_latency,reward,execution_time
243,40.0,1018.7757,65.0,0.78
episode,avg_pods,avg_latency,reward,execution_time
244,54.2,1037.2074,7.0,0.79
episode,avg_pods,avg_latency,reward,execution_time
245,41.72,1042.3228,33.0,0.83
episode,avg_pods,avg_latency,reward,execution_time
246,21.36,991.6278,15.0,0.81
episode,avg_pods,avg_latency,reward,execution_time
247,46.6,1049.6996,24.0,0.78
