episode,avg_pods,avg_latency,reward,execution_time
1,36.96,1082.1882,28.0,0.7
episode,avg_pods,avg_latency,reward,execution_time
2,28.72,993.6378,5.0,0.67
episode,avg_pods,avg_latency,reward,execution_time
3,48.44,1031.2423,13.0,0.61
episode,avg_pods,avg_latency,reward,execution_time
4,50.28,1038.2782,20.0,0.68
episode,avg_pods,avg_latency,reward,execution_time
5,56.56,1060.8763,-2.0,0.6
episode,avg_pods,avg_latency,reward,execution_time
6,40.2,1049.031,29.0,0.64
episode,avg_pods,avg_latency,reward,execution_time
7,53.92,997.3596,6.0,0.67
episode,avg_pods,avg_latency,reward,execution_time
8,31.44,1020.2076,3.0,0.67
episode,avg_pods,avg_latency,reward,execution_time
9,46.48,1034.1718,-2.0,0.66
episode,avg_pods,avg_latency,reward,execution_time
10,54.92,1006.049,9.0,0.58
episode,avg_pods,avg_latency,reward,execution_time
11,53.2,1058.8532,32.0,0.66
episode,avg_pods,avg_latency,reward,execution_time
12,55.88,992.6481,-2.0,0.62
episode,avg_pods,avg_latency,reward,execution_time
13,36.8,990.186,3.0,0.64
episode,avg_pods,avg_latency,reward,execution_time
14,54.92,1084.1722,-3.0,0.71
episode,avg_pods,avg_latency,reward,execution_time
15,51.76,1039.6181,5.0,0.66
episode,avg_pods,avg_latency,reward,execution_time
16,59.6,1017.5999,-1.0,0.67
episode,avg_pods,avg_latency,reward,execution_time
17,47.48,987.5167,15.0,0.66
episode,avg_pods,avg_latency,reward,execution_time
18,46.04,1000.9571,12.0,0.65
episode,avg_pods,avg_latency,reward,execution_time
19,45.04,1036.9082,36.0,0.67
episode,avg_pods,avg_latency,reward,execution_time
20,49.48,996.711,0.0,0.67
episode,avg_pods,avg_latency,reward,execution_time
21,46.16,1112.726,24.0,0.7
episode,avg_pods,avg_latency,reward,execution_time
22,35.2,1049.3272,37.0,0.74
episode,avg_pods,avg_latency,reward,execution_time
23,29.68,1021.245,24.0,0.68
episode,avg_pods,avg_latency,reward,execution_time
24,46.32,1116.7937,52.0,0.69
episode,avg_pods,avg_latency,reward,execution_time
25,36.32,1136.0836,24.0,0.63
episode,avg_pods,avg_latency,reward,execution_time
26,50.6,1007.9419,40.0,0.64
episode,avg_pods,avg_latency,reward,execution_time
27,41.44,1032.53,48.0,0.68
episode,avg_pods,avg_latency,reward,execution_time
28,46.28,1031.5476,36.0,0.64
episode,avg_pods,avg_latency,reward,execution_time
29,57.12,1018.707,14.0,0.65
episode,avg_pods,avg_latency,reward,execution_time
30,43.52,1061.5411,-6.0,0.64
episode,avg_pods,avg_latency,reward,execution_time
31,49.28,966.4322,-10.0,0.61
episode,avg_pods,avg_latency,reward,execution_time
1,47.4,1033.4508,15.0,0.67
episode,avg_pods,avg_latency,reward,execution_time
2,43.16,1052.3204,20.0,0.67
episode,avg_pods,avg_latency,reward,execution_time
3,45.16,1040.446,9.0,0.65
episode,avg_pods,avg_latency,reward,execution_time
4,52.32,1038.6554,4.0,0.72
episode,avg_pods,avg_latency,reward,execution_time
5,52.28,1027.9353,0.0,0.67
episode,avg_pods,avg_latency,reward,execution_time
