episode,avg_pods,avg_latency,reward,execution_time
1,9.08,105839.9417,-3.0,0.24
episode,avg_pods,avg_latency,reward,execution_time
2,8.44,356832.7899,-8.0,0.22
episode,avg_pods,avg_latency,reward,execution_time
3,8.72,382.418,-4.0,0.24
episode,avg_pods,avg_latency,reward,execution_time
4,6.72,66611.9032,-1.0,0.26
episode,avg_pods,avg_latency,reward,execution_time
5,6.96,70414.767,0.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
6,9.4,169447.7904,-5.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
7,7.68,33891.416,-2.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
8,7.48,67891.1806,-14.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
9,6.56,101669.5775,-3.0,0.23
episode,avg_pods,avg_latency,reward,execution_time
10,6.96,29234.8075,-6.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
11,7.68,33.1413,-7.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
12,7.44,43.9302,-1.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
13,5.92,853.1254,-3.0,0.26
episode,avg_pods,avg_latency,reward,execution_time
14,5.84,119916.3542,4.0,0.22
episode,avg_pods,avg_latency,reward,execution_time
15,8.24,0.2365,2.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
16,4.56,120029.6549,-5.0,0.22
episode,avg_pods,avg_latency,reward,execution_time
17,7.48,30.0548,8.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
18,4.32,19.3839,15.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
19,4.24,0.8818,-10.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
20,5.72,0.9719,9.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
21,4.72,120034.4891,12.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
22,4.52,3.559,0.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
23,6.04,120024.7257,15.0,0.22
episode,avg_pods,avg_latency,reward,execution_time
24,4.32,13.6446,5.0,0.24
episode,avg_pods,avg_latency,reward,execution_time
25,5.52,49.2086,24.0,0.23
episode,avg_pods,avg_latency,reward,execution_time
26,6.52,4.5277,12.0,0.24
episode,avg_pods,avg_latency,reward,execution_time
27,5.96,240032.5778,22.0,0.22
episode,avg_pods,avg_latency,reward,execution_time
28,5.8,236181.7692,11.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
29,5.76,15.8353,14.0,0.23
episode,avg_pods,avg_latency,reward,execution_time
30,5.24,786.1669,16.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
31,10.08,15.0368,-4.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
32,5.68,120035.8626,16.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
33,7.6,426.372,-6.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
34,5.6,28.1617,18.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
35,4.68,45.8579,16.0,0.22
episode,avg_pods,avg_latency,reward,execution_time
36,6.28,1091.3254,10.0,0.25
episode,avg_pods,avg_latency,reward,execution_time
37,6.2,120014.1451,20.0,0.78
episode,avg_pods,avg_latency,reward,execution_time
38,8.12,422.589,-1.0,0.38
episode,avg_pods,avg_latency,reward,execution_time
