episode,avg_pods,avg_latency,reward,execution_time
1,10.96,1009.1061,-12.0,0.3
episode,avg_pods,avg_latency,reward,execution_time
2,7.16,0.083,-4.0,0.26
episode,avg_pods,avg_latency,reward,execution_time
3,7.16,359705.0568,-3.0,0.28
episode,avg_pods,avg_latency,reward,execution_time
4,7.8,1259.3087,-14.0,0.24
episode,avg_pods,avg_latency,reward,execution_time
5,8.0,1465231.4337,-12.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
6,9.0,0.4045,-14.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
7,8.08,1.4476,-12.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
8,9.44,0.0465,-10.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
9,9.44,335802.9555,-11.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
10,7.0,0.7207,-7.0,0.23
episode,avg_pods,avg_latency,reward,execution_time
11,7.52,359715.5672,-8.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
12,10.16,2698.9022,-14.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
13,11.48,352336.387,-9.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
14,8.36,696933.8299,-7.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
15,9.0,0.0754,-11.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
16,6.52,0.1878,-6.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
17,6.48,457249.884,-4.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
18,7.96,2687.2186,-11.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
19,5.28,11.855,-3.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
20,8.76,237879.1144,-4.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
21,5.4,145.7652,1.0,0.23
episode,avg_pods,avg_latency,reward,execution_time
22,4.2,14.2238,1.0,0.25
episode,avg_pods,avg_latency,reward,execution_time
23,5.76,360998.9512,2.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
24,7.64,0.11,-7.0,0.24
episode,avg_pods,avg_latency,reward,execution_time
25,6.84,1050635.1452,-6.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
26,7.32,4.8816,-6.0,0.26
episode,avg_pods,avg_latency,reward,execution_time
27,5.6,23809.8431,-7.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
28,7.76,58524.2607,-10.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
29,7.32,360166.8849,0.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
30,6.2,457249.7318,4.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
31,6.92,213667.2683,-4.0,0.22
episode,avg_pods,avg_latency,reward,execution_time
32,7.6,33911.2264,-2.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
33,4.52,145.6179,-2.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
34,7.36,119910.8351,-7.0,0.23
episode,avg_pods,avg_latency,reward,execution_time
35,6.44,3.119,2.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
36,4.2,78.4342,0.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
37,8.32,2818.5674,-3.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
38,6.6,356907.8706,7.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
39,7.08,67852.1011,-7.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
40,7.12,0.1337,-8.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
41,6.76,72691.5728,-4.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
42,8.12,32245.7132,-7.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
43,5.8,1.8272,5.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
44,4.04,26.4024,-5.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
45,4.48,26.7371,-7.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
46,6.6,17.631,-5.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
47,4.48,35.2395,8.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
48,6.04,12.672,-6.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
49,6.04,416256.9489,4.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
50,8.4,56611.182,-3.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
51,6.44,359702.8814,5.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
52,6.2,2703.5148,-4.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
53,8.64,715124.8947,-2.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
54,6.88,362744.2186,4.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
55,4.24,38.8425,-3.0,0.22
episode,avg_pods,avg_latency,reward,execution_time
56,4.32,43.9371,5.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
57,7.24,359751.4898,-2.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
58,4.48,719415.2313,-5.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
59,5.0,8.8137,9.0,0.23
episode,avg_pods,avg_latency,reward,execution_time
60,3.8,169395.8761,2.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
61,4.72,224746.635,-7.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
62,7.4,2838.1196,1.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
63,6.08,168690.2732,11.0,0.24
episode,avg_pods,avg_latency,reward,execution_time
64,4.64,0.0356,-1.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
65,7.48,479875.5238,9.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
66,4.24,0.0915,3.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
67,6.2,122.1662,1.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
68,4.16,10.5752,15.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
69,6.36,187873.1246,-1.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
70,8.76,0.3616,-9.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
71,3.56,35.6356,2.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
72,4.44,1104043.3851,1.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
73,5.64,11.8596,5.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
74,9.76,1744.8416,-5.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
75,5.24,149.3451,3.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
76,5.88,12.3221,16.0,0.26
episode,avg_pods,avg_latency,reward,execution_time
77,5.12,359720.2933,9.0,0.22
episode,avg_pods,avg_latency,reward,execution_time
78,5.84,475202.6504,-6.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
79,5.92,359707.0332,0.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
80,7.92,56477.9229,3.0,0.22
episode,avg_pods,avg_latency,reward,execution_time
81,9.8,0.0347,0.0,0.56
episode,avg_pods,avg_latency,reward,execution_time
82,6.48,359702.6414,8.0,0.37
episode,avg_pods,avg_latency,reward,execution_time
83,8.6,120282.4142,5.0,0.25
episode,avg_pods,avg_latency,reward,execution_time
84,8.04,2765.4762,-4.0,0.27
episode,avg_pods,avg_latency,reward,execution_time
85,4.88,459146.6404,5.0,0.22
episode,avg_pods,avg_latency,reward,execution_time
86,5.12,21.6506,-1.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
87,5.48,2.2642,11.0,0.26
episode,avg_pods,avg_latency,reward,execution_time
88,5.92,168294.1764,13.0,0.22
episode,avg_pods,avg_latency,reward,execution_time
89,6.2,473.0683,3.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
90,4.28,29.3341,6.0,0.23
episode,avg_pods,avg_latency,reward,execution_time
91,8.68,1154.4214,3.0,0.24
episode,avg_pods,avg_latency,reward,execution_time
92,5.12,44.5064,9.0,0.27
episode,avg_pods,avg_latency,reward,execution_time
93,7.0,767023.7014,1.0,0.25
episode,avg_pods,avg_latency,reward,execution_time
94,4.32,33898.6348,10.0,0.26
episode,avg_pods,avg_latency,reward,execution_time
95,4.72,0.0332,9.0,0.3
episode,avg_pods,avg_latency,reward,execution_time
96,3.68,21.2028,18.0,0.3
episode,avg_pods,avg_latency,reward,execution_time
97,8.84,88746.0391,0.0,0.26
episode,avg_pods,avg_latency,reward,execution_time
98,6.4,0.0572,8.0,0.22
episode,avg_pods,avg_latency,reward,execution_time
99,3.8,29.9466,14.0,0.23
episode,avg_pods,avg_latency,reward,execution_time
100,6.08,79.0125,4.0,0.23
episode,avg_pods,avg_latency,reward,execution_time
101,7.32,1.3545,21.0,0.25
episode,avg_pods,avg_latency,reward,execution_time
102,9.32,2143.1017,-4.0,0.27
episode,avg_pods,avg_latency,reward,execution_time
103,7.68,395206.1382,6.0,0.24
episode,avg_pods,avg_latency,reward,execution_time
104,7.44,10.0028,-2.0,0.22
episode,avg_pods,avg_latency,reward,execution_time
105,8.04,32236.7626,-7.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
