episode,avg_pods,avg_latency,reward,execution_time
1,8.84,489.2856,-4000.11,0.25
episode,avg_pods,avg_latency,reward,execution_time
2,8.08,127545.6719,-3818.58,0.2
episode,avg_pods,avg_latency,reward,execution_time
3,9.72,5369.5653,-4000.28,0.26
episode,avg_pods,avg_latency,reward,execution_time
4,10.0,1288.9973,-3555.83,0.21
episode,avg_pods,avg_latency,reward,execution_time
5,8.72,119086.4408,-1608.79,0.19
episode,avg_pods,avg_latency,reward,execution_time
6,9.88,16.1236,-3902.9,0.22
episode,avg_pods,avg_latency,reward,execution_time
7,9.96,3.3908,-3083.99,0.17
episode,avg_pods,avg_latency,reward,execution_time
8,6.84,97716.6685,-2254.88,0.22
episode,avg_pods,avg_latency,reward,execution_time
9,8.04,483753.9887,-3783.76,0.17
episode,avg_pods,avg_latency,reward,execution_time
10,11.28,1.1156,-1777.38,0.17
episode,avg_pods,avg_latency,reward,execution_time
11,10.44,3712.9977,-3292.5,0.17
episode,avg_pods,avg_latency,reward,execution_time
12,8.2,49.9184,-1764.01,0.2
episode,avg_pods,avg_latency,reward,execution_time
13,7.4,692423.0085,-3008.76,0.2
episode,avg_pods,avg_latency,reward,execution_time
14,9.76,119106.6015,-4795.77,0.19
episode,avg_pods,avg_latency,reward,execution_time
15,8.48,21.433,-3510.87,0.19
episode,avg_pods,avg_latency,reward,execution_time
16,8.24,354264.1688,-2092.3,0.17
episode,avg_pods,avg_latency,reward,execution_time
17,11.56,121767.2345,-2080.44,0.16
episode,avg_pods,avg_latency,reward,execution_time
18,7.52,11.832,-3533.29,0.22
episode,avg_pods,avg_latency,reward,execution_time
19,10.2,33890.8038,-3790.59,0.21
episode,avg_pods,avg_latency,reward,execution_time
20,6.28,239807.7234,-3304.54,0.19
episode,avg_pods,avg_latency,reward,execution_time
21,12.08,2565.9949,-2500.34,0.18
episode,avg_pods,avg_latency,reward,execution_time
22,7.72,178.9383,-3403.99,0.19
episode,avg_pods,avg_latency,reward,execution_time
23,6.84,239806.2746,-4329.74,0.22
episode,avg_pods,avg_latency,reward,execution_time
24,7.48,478744.5915,-3164.86,0.19
episode,avg_pods,avg_latency,reward,execution_time
25,9.08,2.1121,-2052.73,0.19
episode,avg_pods,avg_latency,reward,execution_time
26,12.56,1.6592,-2541.28,0.17
episode,avg_pods,avg_latency,reward,execution_time
27,8.44,15.9777,-3210.38,0.18
episode,avg_pods,avg_latency,reward,execution_time
28,8.92,1.1642,-3278.57,0.24
episode,avg_pods,avg_latency,reward,execution_time
29,12.08,2703.6664,-3503.0,0.22
episode,avg_pods,avg_latency,reward,execution_time
30,12.84,1386.4708,-3138.46,0.16
episode,avg_pods,avg_latency,reward,execution_time
31,7.36,0.0346,-2750.19,0.18
episode,avg_pods,avg_latency,reward,execution_time
32,10.44,0.1813,-2255.42,0.2
episode,avg_pods,avg_latency,reward,execution_time
33,9.12,452338.708,-2887.02,0.18
episode,avg_pods,avg_latency,reward,execution_time
34,9.8,719398.8152,-2638.41,0.17
episode,avg_pods,avg_latency,reward,execution_time
35,9.0,5598.6596,-2750.86,0.23
episode,avg_pods,avg_latency,reward,execution_time
36,9.96,1294.4385,-2844.87,0.17
episode,avg_pods,avg_latency,reward,execution_time
37,10.04,354258.4434,-2500.85,0.2
episode,avg_pods,avg_latency,reward,execution_time
38,7.24,750.4172,-3251.97,0.19
episode,avg_pods,avg_latency,reward,execution_time
39,12.64,0.074,-2750.69,0.17
episode,avg_pods,avg_latency,reward,execution_time
40,8.2,225889.9982,-3001.05,0.2
episode,avg_pods,avg_latency,reward,execution_time
41,6.84,1.5975,-2271.97,0.21
episode,avg_pods,avg_latency,reward,execution_time
42,11.16,695571.2636,-2000.35,0.18
episode,avg_pods,avg_latency,reward,execution_time
43,10.64,120428.4734,-3555.67,0.18
episode,avg_pods,avg_latency,reward,execution_time
44,8.72,9.6248,-2689.97,0.17
episode,avg_pods,avg_latency,reward,execution_time
45,11.4,270118.2932,-2561.7,0.18
episode,avg_pods,avg_latency,reward,execution_time
46,10.24,85780.6597,-1810.51,0.2
episode,avg_pods,avg_latency,reward,execution_time
47,9.28,701532.269,-2006.49,0.19
episode,avg_pods,avg_latency,reward,execution_time
48,8.96,2394.6662,-2750.74,0.19
episode,avg_pods,avg_latency,reward,execution_time
49,8.72,63520.151,-3311.85,0.19
episode,avg_pods,avg_latency,reward,execution_time
50,7.8,14.454,-1772.57,0.23
episode,avg_pods,avg_latency,reward,execution_time
51,7.64,360262.9508,-3251.34,0.26
episode,avg_pods,avg_latency,reward,execution_time
52,10.88,341870.2709,-2640.61,0.17
episode,avg_pods,avg_latency,reward,execution_time
53,10.68,382.1154,-2807.61,0.18
episode,avg_pods,avg_latency,reward,execution_time
54,7.76,121.7439,-1531.72,0.18
episode,avg_pods,avg_latency,reward,execution_time
55,9.96,357980.106,-3045.6,0.18
episode,avg_pods,avg_latency,reward,execution_time
56,5.88,719727.1408,-3000.67,0.2
episode,avg_pods,avg_latency,reward,execution_time
57,12.6,0.077,-2251.34,0.17
episode,avg_pods,avg_latency,reward,execution_time
58,8.52,352456.5731,-2500.61,0.18
episode,avg_pods,avg_latency,reward,execution_time
59,5.72,719563.0444,-2743.79,0.18
