episode,avg_pods,avg_latency,reward,execution_time
1,58.4,1004.9986,-2.0,0.54
episode,avg_pods,avg_latency,reward,execution_time
2,54.0,1035.9132,7.0,0.59
episode,avg_pods,avg_latency,reward,execution_time
3,44.44,1037.1601,10.0,0.63
episode,avg_pods,avg_latency,reward,execution_time
4,47.52,1029.8858,4.0,0.62
episode,avg_pods,avg_latency,reward,execution_time
5,48.68,1005.0422,14.0,0.58
episode,avg_pods,avg_latency,reward,execution_time
6,47.6,1016.7715,14.0,0.63
episode,avg_pods,avg_latency,reward,execution_time
7,47.12,1088.4267,12.0,0.6
episode,avg_pods,avg_latency,reward,execution_time
8,48.72,1244.0045,-3.0,0.57
episode,avg_pods,avg_latency,reward,execution_time
9,55.8,1004.5178,-5.0,0.55
episode,avg_pods,avg_latency,reward,execution_time
10,49.96,1028.0598,3.0,0.6
episode,avg_pods,avg_latency,reward,execution_time
11,44.64,1034.7103,11.0,0.6
episode,avg_pods,avg_latency,reward,execution_time
12,38.92,1029.6421,-11.0,0.57
episode,avg_pods,avg_latency,reward,execution_time
13,43.56,1024.2438,4.0,0.55
episode,avg_pods,avg_latency,reward,execution_time
14,43.72,1034.4397,8.0,0.64
episode,avg_pods,avg_latency,reward,execution_time
15,54.44,1015.5278,-12.0,0.62
episode,avg_pods,avg_latency,reward,execution_time
16,41.84,985.7868,27.0,0.58
episode,avg_pods,avg_latency,reward,execution_time
17,49.2,1070.2556,12.0,0.6
episode,avg_pods,avg_latency,reward,execution_time
18,39.96,1040.7436,26.0,0.61
episode,avg_pods,avg_latency,reward,execution_time
19,42.48,1043.9785,-9.0,0.6
episode,avg_pods,avg_latency,reward,execution_time
20,54.48,1018.5571,-2.0,0.59
episode,avg_pods,avg_latency,reward,execution_time
21,47.44,1021.6809,-6.0,0.59
episode,avg_pods,avg_latency,reward,execution_time
22,45.08,1030.2415,14.0,0.63
episode,avg_pods,avg_latency,reward,execution_time
23,48.16,1031.993,6.0,0.59
episode,avg_pods,avg_latency,reward,execution_time
24,55.56,1000.3579,3.0,0.54
episode,avg_pods,avg_latency,reward,execution_time
25,49.92,1013.9276,-6.0,0.58
episode,avg_pods,avg_latency,reward,execution_time
26,54.6,1030.9711,-1.0,0.56
episode,avg_pods,avg_latency,reward,execution_time
27,41.48,1008.1629,26.0,0.86
episode,avg_pods,avg_latency,reward,execution_time
28,49.0,1020.496,6.0,0.83
episode,avg_pods,avg_latency,reward,execution_time
29,54.36,1037.7186,-2.0,0.7
episode,avg_pods,avg_latency,reward,execution_time
30,61.24,1025.592,-2.0,0.7
episode,avg_pods,avg_latency,reward,execution_time
31,48.6,1064.7123,14.0,0.6
episode,avg_pods,avg_latency,reward,execution_time
32,26.92,1031.9802,-4.0,0.57
episode,avg_pods,avg_latency,reward,execution_time
33,47.56,990.7621,-6.0,0.57
episode,avg_pods,avg_latency,reward,execution_time
34,54.48,1037.2951,16.0,0.66
episode,avg_pods,avg_latency,reward,execution_time
35,46.36,1021.7858,37.0,0.69
episode,avg_pods,avg_latency,reward,execution_time
36,53.52,1037.36,-2.0,0.7
episode,avg_pods,avg_latency,reward,execution_time
37,48.2,1008.0702,-4.0,0.74
episode,avg_pods,avg_latency,reward,execution_time
38,44.16,1084.6117,0.0,0.58
episode,avg_pods,avg_latency,reward,execution_time
39,47.08,1092.4132,7.0,0.58
episode,avg_pods,avg_latency,reward,execution_time
40,48.08,1004.7273,6.0,0.63
episode,avg_pods,avg_latency,reward,execution_time
41,43.64,1002.3996,49.0,0.68
episode,avg_pods,avg_latency,reward,execution_time
42,32.72,1009.2363,-2.0,0.86
episode,avg_pods,avg_latency,reward,execution_time
43,43.92,1044.8835,8.0,0.64
episode,avg_pods,avg_latency,reward,execution_time
44,55.64,1035.7182,9.0,0.61
episode,avg_pods,avg_latency,reward,execution_time
45,67.8,1020.3922,-1.0,0.62
episode,avg_pods,avg_latency,reward,execution_time
46,37.0,1013.8267,12.0,0.62
episode,avg_pods,avg_latency,reward,execution_time
47,58.24,1054.2312,-4.0,0.64
episode,avg_pods,avg_latency,reward,execution_time
48,32.76,1007.7637,22.0,0.62
episode,avg_pods,avg_latency,reward,execution_time
49,33.16,1026.1435,8.0,0.6
