episode,avg_pods,avg_latency,reward,execution_time
1,9.92,0.2252,-14.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
2,8.2,360166.7376,-3.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
3,7.84,435949.3483,-11.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
4,8.28,135327.9331,-4.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
5,6.48,56561.5304,-12.0,0.25
episode,avg_pods,avg_latency,reward,execution_time
6,10.48,2127.3379,-13.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
7,9.44,38.2652,-8.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
8,6.28,0.0302,-9.0,0.24
episode,avg_pods,avg_latency,reward,execution_time
9,10.04,335726.7543,-15.0,0.15
episode,avg_pods,avg_latency,reward,execution_time
10,7.6,355286.4583,-13.0,0.15
episode,avg_pods,avg_latency,reward,execution_time
11,5.44,2950.993,-6.0,0.15
episode,avg_pods,avg_latency,reward,execution_time
12,10.6,421.007,-13.0,0.16
episode,avg_pods,avg_latency,reward,execution_time
13,8.72,5.9456,-17.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
14,9.04,1.1471,-10.0,0.16
episode,avg_pods,avg_latency,reward,execution_time
15,7.48,1439453.6425,-7.0,0.16
episode,avg_pods,avg_latency,reward,execution_time
16,11.0,2002767.4846,-12.0,0.15
episode,avg_pods,avg_latency,reward,execution_time
17,8.88,2800.6452,-12.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
18,8.28,2.0432,-12.0,0.15
episode,avg_pods,avg_latency,reward,execution_time
19,10.96,418731.9363,-14.0,0.14
episode,avg_pods,avg_latency,reward,execution_time
20,10.04,153.4738,-8.0,0.14
episode,avg_pods,avg_latency,reward,execution_time
21,9.68,23984.5112,-10.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
22,7.6,65954.3136,-8.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
23,8.36,112.3873,-6.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
24,8.44,0.0154,-4.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
25,8.68,7.5281,-5.0,0.14
episode,avg_pods,avg_latency,reward,execution_time
26,8.2,3.8389,-8.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
27,8.32,359704.2932,-7.0,0.14
episode,avg_pods,avg_latency,reward,execution_time
28,10.24,359820.1344,-12.0,0.15
episode,avg_pods,avg_latency,reward,execution_time
29,10.8,5602.9112,-12.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
30,9.04,0.1518,-2.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
31,6.36,45.2221,-11.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
32,8.56,1054482.1769,-13.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
33,7.92,7.4566,-7.0,0.16
episode,avg_pods,avg_latency,reward,execution_time
34,8.8,365119.4866,-8.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
35,8.88,0.0591,-11.0,0.16
episode,avg_pods,avg_latency,reward,execution_time
36,8.48,1.7494,-5.0,0.16
episode,avg_pods,avg_latency,reward,execution_time
37,7.0,2.3976,-5.0,0.22
episode,avg_pods,avg_latency,reward,execution_time
38,8.24,33924.3965,-9.0,0.14
episode,avg_pods,avg_latency,reward,execution_time
39,7.0,120014.0826,-7.0,0.15
episode,avg_pods,avg_latency,reward,execution_time
40,7.84,131893.4296,-6.0,0.16
episode,avg_pods,avg_latency,reward,execution_time
41,7.24,0.4157,-4.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
42,8.04,239802.2469,-7.0,0.14
episode,avg_pods,avg_latency,reward,execution_time
43,7.72,152977.5183,3.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
44,6.76,0.3318,-14.0,0.16
episode,avg_pods,avg_latency,reward,execution_time
45,5.84,1079107.4686,-5.0,0.13
episode,avg_pods,avg_latency,reward,execution_time
46,5.16,114729.9587,2.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
47,8.0,74.5776,-9.0,0.25
episode,avg_pods,avg_latency,reward,execution_time
48,7.8,68598.8945,-6.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
49,9.48,39691.2074,-10.0,0.23
episode,avg_pods,avg_latency,reward,execution_time
50,8.92,0.25,-5.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
51,7.84,123.5517,-4.0,0.25
episode,avg_pods,avg_latency,reward,execution_time
52,8.28,239922.0611,-6.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
53,8.28,119903.4222,-11.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
54,7.16,10.0532,-4.0,0.15
episode,avg_pods,avg_latency,reward,execution_time
55,6.88,31.1682,-5.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
56,7.8,360138.1812,-3.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
57,8.88,1006.1932,-6.0,0.14
episode,avg_pods,avg_latency,reward,execution_time
58,7.04,2.8552,1.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
59,9.56,169395.9352,-8.0,0.16
episode,avg_pods,avg_latency,reward,execution_time
60,7.68,1006.1903,-11.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
61,7.44,93.213,-7.0,0.26
episode,avg_pods,avg_latency,reward,execution_time
62,5.92,479618.3896,-3.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
63,8.52,0.2743,-8.0,0.16
episode,avg_pods,avg_latency,reward,execution_time
64,8.92,341485.3268,-12.0,0.15
episode,avg_pods,avg_latency,reward,execution_time
65,7.16,702741.9955,-10.0,0.16
episode,avg_pods,avg_latency,reward,execution_time
66,6.84,112971.344,-6.0,0.15
episode,avg_pods,avg_latency,reward,execution_time
67,5.4,336542.5182,-10.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
68,7.64,1111769.8606,-8.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
69,8.16,10.446,-8.0,0.13
episode,avg_pods,avg_latency,reward,execution_time
70,8.76,329735.8291,-5.0,0.15
episode,avg_pods,avg_latency,reward,execution_time
71,8.28,33881.7718,-3.0,0.15
episode,avg_pods,avg_latency,reward,execution_time
72,9.48,245.1077,-8.0,0.15
episode,avg_pods,avg_latency,reward,execution_time
73,5.96,719809.105,6.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
74,7.48,56562.8587,-4.0,0.16
episode,avg_pods,avg_latency,reward,execution_time
75,7.48,0.2531,-4.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
76,8.96,4.0198,-6.0,0.14
episode,avg_pods,avg_latency,reward,execution_time
77,6.68,0.0778,-10.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
78,8.44,134707.0686,-8.0,0.14
episode,avg_pods,avg_latency,reward,execution_time
79,8.92,5601.0697,-6.0,0.15
episode,avg_pods,avg_latency,reward,execution_time
80,8.72,719846.9735,-9.0,0.15
episode,avg_pods,avg_latency,reward,execution_time
81,5.32,0.0297,2.0,0.27
episode,avg_pods,avg_latency,reward,execution_time
82,10.56,1.1758,-7.0,0.16
episode,avg_pods,avg_latency,reward,execution_time
83,6.72,471596.6044,-5.0,0.31
episode,avg_pods,avg_latency,reward,execution_time
84,4.68,9.2869,-6.0,0.42
episode,avg_pods,avg_latency,reward,execution_time
85,7.0,119901.5038,1.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
86,5.52,29.3884,-1.0,0.22
episode,avg_pods,avg_latency,reward,execution_time
87,11.48,0.134,-13.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
88,8.04,186108.0587,-11.0,0.15
episode,avg_pods,avg_latency,reward,execution_time
89,7.08,0.0466,0.0,0.16
episode,avg_pods,avg_latency,reward,execution_time
90,7.08,416369.9444,-13.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
91,6.4,119931.0463,-4.0,0.18
episode,avg_pods,avg_latency,reward,execution_time
92,6.96,12.3734,-3.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
93,8.12,359704.954,-2.0,0.16
episode,avg_pods,avg_latency,reward,execution_time
94,9.24,4857.7296,-11.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
95,8.16,4876.3144,-13.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
96,6.24,1082.6316,-2.0,0.19
episode,avg_pods,avg_latency,reward,execution_time
97,5.4,6.1506,-8.0,0.2
episode,avg_pods,avg_latency,reward,execution_time
98,6.96,362768.9484,-2.0,0.15
episode,avg_pods,avg_latency,reward,execution_time
99,9.08,408024.4338,2.0,0.15
episode,avg_pods,avg_latency,reward,execution_time
100,7.04,203546.1841,-8.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
101,8.36,2806.1198,-11.0,0.17
episode,avg_pods,avg_latency,reward,execution_time
