episode,avg_pods,avg_latency,reward,execution_time
1,42.12,1028.3371,-47140.94,1.0
episode,avg_pods,avg_latency,reward,execution_time
2,41.96,990.3054,-48798.65,0.92
episode,avg_pods,avg_latency,reward,execution_time
3,56.4,1041.2874,-53831.2,0.87
episode,avg_pods,avg_latency,reward,execution_time
4,33.84,1004.0169,-54921.84,0.8
episode,avg_pods,avg_latency,reward,execution_time
5,50.8,1047.311,-52044.89,0.85
episode,avg_pods,avg_latency,reward,execution_time
6,55.88,1020.5118,-51433.35,2.37
episode,avg_pods,avg_latency,reward,execution_time
7,28.6,1002.0192,-49002.57,0.92
episode,avg_pods,avg_latency,reward,execution_time
8,46.36,1043.0466,-49514.99,0.92
episode,avg_pods,avg_latency,reward,execution_time
9,51.56,1039.9904,-55315.53,0.9
episode,avg_pods,avg_latency,reward,execution_time
10,41.84,1065.7298,-55649.38,0.94
episode,avg_pods,avg_latency,reward,execution_time
11,48.8,1010.8065,-49163.31,2.19
episode,avg_pods,avg_latency,reward,execution_time
12,41.76,1048.6916,-43833.75,0.97
episode,avg_pods,avg_latency,reward,execution_time
13,46.88,1034.5691,-53353.23,0.85
episode,avg_pods,avg_latency,reward,execution_time
14,52.36,987.1158,-50868.73,0.88
episode,avg_pods,avg_latency,reward,execution_time
15,42.64,1037.1739,-47551.48,0.93
episode,avg_pods,avg_latency,reward,execution_time
16,27.6,993.1196,-42927.34,2.2
episode,avg_pods,avg_latency,reward,execution_time
17,41.64,1051.5135,-49654.91,0.92
episode,avg_pods,avg_latency,reward,execution_time
18,54.88,1096.3536,-46102.41,0.95
episode,avg_pods,avg_latency,reward,execution_time
19,55.56,1128.4807,-50515.8,0.95
episode,avg_pods,avg_latency,reward,execution_time
20,40.4,1043.6816,-45696.64,0.94
episode,avg_pods,avg_latency,reward,execution_time
21,42.48,1069.5596,-57243.69,2.32
episode,avg_pods,avg_latency,reward,execution_time
22,50.52,1044.2333,-43965.09,1.08
episode,avg_pods,avg_latency,reward,execution_time
23,47.8,1031.0,-49580.9,0.99
episode,avg_pods,avg_latency,reward,execution_time
24,47.64,1093.3174,-46003.81,0.96
episode,avg_pods,avg_latency,reward,execution_time
25,51.84,1059.1598,-43730.27,0.94
episode,avg_pods,avg_latency,reward,execution_time
26,44.16,1050.4599,-49952.55,2.53
episode,avg_pods,avg_latency,reward,execution_time
27,47.04,1094.8061,-46491.23,0.96
episode,avg_pods,avg_latency,reward,execution_time
28,54.88,1216.316,-51837.26,0.94
episode,avg_pods,avg_latency,reward,execution_time
29,57.48,1036.3023,-37675.89,1.09
episode,avg_pods,avg_latency,reward,execution_time
30,47.84,1029.3224,-43679.15,2.72
episode,avg_pods,avg_latency,reward,execution_time
31,36.72,1001.4655,-45092.44,6.35
episode,avg_pods,avg_latency,reward,execution_time
32,51.64,1041.5044,-45723.46,2.61
episode,avg_pods,avg_latency,reward,execution_time
33,43.0,1012.6727,-51026.53,2.46
episode,avg_pods,avg_latency,reward,execution_time
34,27.28,1016.1102,-53262.35,2.55
episode,avg_pods,avg_latency,reward,execution_time
35,53.72,1081.9765,-51687.52,2.55
episode,avg_pods,avg_latency,reward,execution_time
36,44.0,1057.8863,-43920.94,6.24
episode,avg_pods,avg_latency,reward,execution_time
37,45.32,1001.155,-45102.52,2.61
episode,avg_pods,avg_latency,reward,execution_time
38,32.6,1008.8851,-45098.13,2.38
episode,avg_pods,avg_latency,reward,execution_time
39,43.16,1026.0622,-41439.05,2.6
episode,avg_pods,avg_latency,reward,execution_time
40,45.52,1090.1391,-48223.31,2.54
episode,avg_pods,avg_latency,reward,execution_time
41,50.2,1046.1618,-49582.52,6.28
episode,avg_pods,avg_latency,reward,execution_time
42,52.12,1025.2576,-41703.37,2.48
episode,avg_pods,avg_latency,reward,execution_time
43,38.52,1003.4505,-61271.38,2.43
episode,avg_pods,avg_latency,reward,execution_time
44,43.12,1030.2374,-53342.78,2.33
episode,avg_pods,avg_latency,reward,execution_time
45,48.52,1028.2994,-43329.83,2.42
episode,avg_pods,avg_latency,reward,execution_time
46,62.36,1029.4946,-49448.11,2.5
episode,avg_pods,avg_latency,reward,execution_time
47,38.32,1012.7246,-47226.77,6.43
episode,avg_pods,avg_latency,reward,execution_time
48,40.36,1014.0374,-51066.04,2.18
episode,avg_pods,avg_latency,reward,execution_time
49,61.88,1027.1477,-49570.54,2.51
episode,avg_pods,avg_latency,reward,execution_time
50,49.08,1053.8308,-53563.07,2.52
episode,avg_pods,avg_latency,reward,execution_time
51,29.56,971.5054,-44588.16,2.51
episode,avg_pods,avg_latency,reward,execution_time
52,48.84,1020.0371,-49162.4,6.31
episode,avg_pods,avg_latency,reward,execution_time
53,44.92,986.2648,-42598.22,2.49
episode,avg_pods,avg_latency,reward,execution_time
54,49.08,1041.2512,-49813.93,2.48
episode,avg_pods,avg_latency,reward,execution_time
55,57.44,1011.4421,-49109.71,2.53
episode,avg_pods,avg_latency,reward,execution_time
56,60.4,1032.9223,-47355.38,2.44
episode,avg_pods,avg_latency,reward,execution_time
57,41.16,1024.6444,-49257.79,6.08
episode,avg_pods,avg_latency,reward,execution_time
58,37.88,1024.3524,-51197.19,2.47
episode,avg_pods,avg_latency,reward,execution_time
59,46.96,1195.9235,-61726.35,2.2
episode,avg_pods,avg_latency,reward,execution_time
60,45.32,1105.7742,-48321.03,2.54
episode,avg_pods,avg_latency,reward,execution_time
61,45.08,1006.977,-49032.27,2.46
episode,avg_pods,avg_latency,reward,execution_time
62,42.88,1050.0515,-45725.31,6.16
episode,avg_pods,avg_latency,reward,execution_time
63,48.36,994.4767,-38875.41,2.5
episode,avg_pods,avg_latency,reward,execution_time
64,56.04,1015.0619,-49059.52,2.64
episode,avg_pods,avg_latency,reward,execution_time
65,55.36,1037.4751,-46983.91,2.56
episode,avg_pods,avg_latency,reward,execution_time
66,42.0,1068.0074,-57231.78,2.33
episode,avg_pods,avg_latency,reward,execution_time
67,46.88,1058.0408,-45793.63,6.37
episode,avg_pods,avg_latency,reward,execution_time
68,53.96,1038.3551,-45241.09,2.47
episode,avg_pods,avg_latency,reward,execution_time
69,45.52,1020.1208,-43459.73,2.53
episode,avg_pods,avg_latency,reward,execution_time
70,38.36,1035.3852,-49478.96,2.63
episode,avg_pods,avg_latency,reward,execution_time
71,43.32,1050.8686,-47982.69,2.57
episode,avg_pods,avg_latency,reward,execution_time
72,45.24,1053.356,-49270.76,6.16
episode,avg_pods,avg_latency,reward,execution_time
73,41.28,1047.7766,-41921.63,2.49
episode,avg_pods,avg_latency,reward,execution_time
74,63.48,1157.1881,-61921.95,2.23
episode,avg_pods,avg_latency,reward,execution_time
75,45.68,1042.4941,-51433.32,2.53
episode,avg_pods,avg_latency,reward,execution_time
76,62.36,996.8793,-51007.59,2.32
episode,avg_pods,avg_latency,reward,execution_time
77,61.0,1061.8072,-51254.71,5.88
episode,avg_pods,avg_latency,reward,execution_time
78,55.08,1051.4426,-49632.09,2.46
episode,avg_pods,avg_latency,reward,execution_time
79,37.4,1026.3191,-43723.2,2.49
episode,avg_pods,avg_latency,reward,execution_time
80,57.92,992.4013,-51072.99,2.34
episode,avg_pods,avg_latency,reward,execution_time
81,44.88,1051.2812,-45476.42,2.41
episode,avg_pods,avg_latency,reward,execution_time
82,37.92,1070.5145,-51757.22,6.23
episode,avg_pods,avg_latency,reward,execution_time
83,55.2,1027.9154,-53324.07,2.23
episode,avg_pods,avg_latency,reward,execution_time
84,49.04,1047.4049,-39878.04,2.55
episode,avg_pods,avg_latency,reward,execution_time
85,49.76,1023.7888,-52997.24,2.44
episode,avg_pods,avg_latency,reward,execution_time
86,48.8,1021.7032,-49485.36,2.41
episode,avg_pods,avg_latency,reward,execution_time
87,49.96,1034.264,-51388.88,2.39
episode,avg_pods,avg_latency,reward,execution_time
88,48.48,1071.2053,-60051.03,2.18
episode,avg_pods,avg_latency,reward,execution_time
89,50.8,1192.8823,-48202.59,2.5
episode,avg_pods,avg_latency,reward,execution_time
90,51.56,1018.1275,-47254.55,2.53
episode,avg_pods,avg_latency,reward,execution_time
91,56.52,1041.1328,-59285.41,2.43
episode,avg_pods,avg_latency,reward,execution_time
92,33.12,999.2993,-45017.69,2.52
episode,avg_pods,avg_latency,reward,execution_time
93,51.24,1067.9949,-49730.99,6.08
episode,avg_pods,avg_latency,reward,execution_time
94,32.72,1012.774,-49201.5,2.54
episode,avg_pods,avg_latency,reward,execution_time
95,56.32,1048.4062,-43998.03,2.56
episode,avg_pods,avg_latency,reward,execution_time
96,34.24,988.2926,-62943.64,2.24
episode,avg_pods,avg_latency,reward,execution_time
97,32.44,1011.224,-45172.45,2.41
episode,avg_pods,avg_latency,reward,execution_time
98,44.0,1000.6832,-37000.43,6.05
episode,avg_pods,avg_latency,reward,execution_time
99,55.44,1029.905,-41372.11,2.59
episode,avg_pods,avg_latency,reward,execution_time
100,51.56,1050.8956,-47456.53,2.51
episode,avg_pods,avg_latency,reward,execution_time
101,45.2,1011.5044,-57098.5,2.33
episode,avg_pods,avg_latency,reward,execution_time
102,51.84,1056.1392,-47821.09,2.6
episode,avg_pods,avg_latency,reward,execution_time
103,52.76,1076.5744,-52058.41,5.52
episode,avg_pods,avg_latency,reward,execution_time
104,54.4,1000.1517,-43091.33,2.25
episode,avg_pods,avg_latency,reward,execution_time
105,46.68,1029.1196,-53074.21,2.61
episode,avg_pods,avg_latency,reward,execution_time
106,54.2,1070.7828,-45893.33,2.53
episode,avg_pods,avg_latency,reward,execution_time
107,45.76,1007.9559,-49296.96,2.27
episode,avg_pods,avg_latency,reward,execution_time
108,54.52,992.1414,-64904.92,5.96
episode,avg_pods,avg_latency,reward,execution_time
109,42.52,1075.1172,-45900.93,2.8
episode,avg_pods,avg_latency,reward,execution_time
110,38.88,1088.1002,-48297.02,2.48
episode,avg_pods,avg_latency,reward,execution_time
111,42.2,1027.978,-43472.51,2.45
episode,avg_pods,avg_latency,reward,execution_time
112,52.8,1102.0143,-54064.25,2.34
episode,avg_pods,avg_latency,reward,execution_time
113,42.16,983.6775,-48962.33,6.17
episode,avg_pods,avg_latency,reward,execution_time
114,45.24,1127.0231,-57970.9,2.22
episode,avg_pods,avg_latency,reward,execution_time
115,40.72,1042.7106,-53403.01,2.18
episode,avg_pods,avg_latency,reward,execution_time
116,46.6,1048.2304,-39648.39,2.5
episode,avg_pods,avg_latency,reward,execution_time
117,50.44,1043.188,-51332.4,2.19
episode,avg_pods,avg_latency,reward,execution_time
118,48.04,1072.5601,-43841.46,6.06
episode,avg_pods,avg_latency,reward,execution_time
119,34.04,1034.0571,-47565.71,2.51
episode,avg_pods,avg_latency,reward,execution_time
120,48.92,1011.7498,-45187.66,2.37
episode,avg_pods,avg_latency,reward,execution_time
121,34.32,1021.568,-47291.62,2.98
episode,avg_pods,avg_latency,reward,execution_time
122,38.92,1020.4028,-45394.84,2.43
episode,avg_pods,avg_latency,reward,execution_time
123,45.12,994.0603,-47033.75,6.05
episode,avg_pods,avg_latency,reward,execution_time
124,45.24,1059.7176,-47695.46,2.32
episode,avg_pods,avg_latency,reward,execution_time
125,58.68,1035.9446,-53574.94,2.45
episode,avg_pods,avg_latency,reward,execution_time
126,55.16,1112.7634,-58040.76,2.13
episode,avg_pods,avg_latency,reward,execution_time
127,49.36,1030.096,-55079.33,2.34
episode,avg_pods,avg_latency,reward,execution_time
128,35.84,1009.313,-57350.95,2.33
episode,avg_pods,avg_latency,reward,execution_time
129,39.04,1067.4522,-53937.4,2.58
episode,avg_pods,avg_latency,reward,execution_time
130,48.88,1057.0966,-51300.01,2.43
episode,avg_pods,avg_latency,reward,execution_time
131,61.48,1028.0464,-47335.91,2.61
episode,avg_pods,avg_latency,reward,execution_time
132,47.68,1024.2746,-55279.51,2.18
episode,avg_pods,avg_latency,reward,execution_time
133,49.0,1030.7554,-47532.1,2.44
episode,avg_pods,avg_latency,reward,execution_time
134,41.0,1026.3615,-49416.25,5.87
episode,avg_pods,avg_latency,reward,execution_time
135,50.64,1028.3812,-41541.82,2.44
episode,avg_pods,avg_latency,reward,execution_time
136,52.56,1006.271,-48838.2,2.21
episode,avg_pods,avg_latency,reward,execution_time
137,49.48,1086.9417,-57474.81,2.65
episode,avg_pods,avg_latency,reward,execution_time
138,45.28,1015.8749,-49162.09,2.45
episode,avg_pods,avg_latency,reward,execution_time
139,54.36,1025.1672,-53420.33,6.03
episode,avg_pods,avg_latency,reward,execution_time
140,46.52,1060.2097,-52082.55,2.46
episode,avg_pods,avg_latency,reward,execution_time
141,38.16,1010.8722,-43343.04,2.59
episode,avg_pods,avg_latency,reward,execution_time
142,47.4,1034.0619,-47239.31,2.3
episode,avg_pods,avg_latency,reward,execution_time
143,39.6,1009.8916,-43182.11,2.37
episode,avg_pods,avg_latency,reward,execution_time
144,55.84,1057.883,-47682.39,6.41
episode,avg_pods,avg_latency,reward,execution_time
145,53.48,1177.2362,-51328.56,2.32
episode,avg_pods,avg_latency,reward,execution_time
146,60.44,1038.363,-49472.23,2.28
episode,avg_pods,avg_latency,reward,execution_time
147,58.92,1094.9067,-48142.69,2.34
episode,avg_pods,avg_latency,reward,execution_time
148,38.84,1056.075,-51480.13,2.28
episode,avg_pods,avg_latency,reward,execution_time
149,44.52,1021.5435,-45796.06,6.13
