episode,avg_pods,avg_latency,reward,execution_time
1,48.2,1066.4082,0.0,1.13
episode,avg_pods,avg_latency,reward,execution_time
2,36.56,1031.3505,3.0,1.14
episode,avg_pods,avg_latency,reward,execution_time
3,26.36,1023.3528,5.0,1.13
episode,avg_pods,avg_latency,reward,execution_time
4,54.6,1102.8101,-2.0,1.25
episode,avg_pods,avg_latency,reward,execution_time
5,56.0,1086.378,10.0,1.18
episode,avg_pods,avg_latency,reward,execution_time
6,42.68,1044.9906,45.0,3.68
episode,avg_pods,avg_latency,reward,execution_time
7,43.28,1020.4474,5.0,1.27
episode,avg_pods,avg_latency,reward,execution_time
8,52.6,1042.6445,24.0,1.36
episode,avg_pods,avg_latency,reward,execution_time
9,62.68,1030.7948,8.0,1.43
episode,avg_pods,avg_latency,reward,execution_time
10,46.44,1041.3589,5.0,1.53
episode,avg_pods,avg_latency,reward,execution_time
11,45.6,1028.8315,10.0,3.13
episode,avg_pods,avg_latency,reward,execution_time
12,40.0,1027.6262,2.0,1.06
episode,avg_pods,avg_latency,reward,execution_time
13,52.12,1024.3308,19.0,1.3
episode,avg_pods,avg_latency,reward,execution_time
14,57.64,1013.7009,0.0,1.07
episode,avg_pods,avg_latency,reward,execution_time
15,43.92,1040.2586,19.0,1.59
episode,avg_pods,avg_latency,reward,execution_time
16,48.64,1044.5744,-9.0,2.54
episode,avg_pods,avg_latency,reward,execution_time
17,56.6,1078.8634,0.0,1.26
episode,avg_pods,avg_latency,reward,execution_time
18,50.68,1029.1892,15.0,1.33
episode,avg_pods,avg_latency,reward,execution_time
19,60.24,1005.5407,-13.0,6.69
episode,avg_pods,avg_latency,reward,execution_time
20,48.6,1024.3712,12.0,1.95
episode,avg_pods,avg_latency,reward,execution_time
21,43.76,1022.9803,4.0,2.44
episode,avg_pods,avg_latency,reward,execution_time
22,51.72,1067.8256,3.0,1.39
episode,avg_pods,avg_latency,reward,execution_time
23,40.4,1024.7284,35.0,1.43
episode,avg_pods,avg_latency,reward,execution_time
24,53.2,1089.0255,3.0,1.33
