episode,avg_pods,avg_latency,reward,execution_time
1,9.12,5.4851,-7.0,0.26
episode,avg_pods,avg_latency,reward,execution_time
2,8.48,119082.4472,-4.0,0.34
episode,avg_pods,avg_latency,reward,execution_time
3,9.44,0.2178,-11.0,0.33
episode,avg_pods,avg_latency,reward,execution_time
4,8.64,112950.0755,-12.0,0.34
episode,avg_pods,avg_latency,reward,execution_time
5,5.28,120071.5775,-7.0,0.35
episode,avg_pods,avg_latency,reward,execution_time
6,8.44,32252.6823,-9.0,1.71
episode,avg_pods,avg_latency,reward,execution_time
7,8.64,5276.961,-6.0,0.3
episode,avg_pods,avg_latency,reward,execution_time
8,7.72,2799.3668,-10.0,0.23
episode,avg_pods,avg_latency,reward,execution_time
9,9.8,254538.428,-10.0,0.26
episode,avg_pods,avg_latency,reward,execution_time
10,7.08,1318903.2981,-11.0,0.23
episode,avg_pods,avg_latency,reward,execution_time
11,10.32,0.3748,-12.0,1.48
episode,avg_pods,avg_latency,reward,execution_time
12,7.6,9.5955,-5.0,0.27
episode,avg_pods,avg_latency,reward,execution_time
13,6.6,35.4944,-4.0,0.3
episode,avg_pods,avg_latency,reward,execution_time
14,9.52,817668.6067,-7.0,0.21
episode,avg_pods,avg_latency,reward,execution_time
15,9.52,0.0728,-5.0,0.26
episode,avg_pods,avg_latency,reward,execution_time
16,9.24,720168.3066,-9.0,1.41
episode,avg_pods,avg_latency,reward,execution_time
17,10.32,356825.5748,-4.0,0.27
episode,avg_pods,avg_latency,reward,execution_time
18,7.4,147.7769,1.0,0.24
episode,avg_pods,avg_latency,reward,execution_time
19,10.68,240105.162,-7.0,0.24
episode,avg_pods,avg_latency,reward,execution_time
20,8.2,2.5726,-15.0,0.42
episode,avg_pods,avg_latency,reward,execution_time
21,8.0,359703.0088,-13.0,3.69
episode,avg_pods,avg_latency,reward,execution_time
22,9.48,360842.8147,-2.0,0.37
episode,avg_pods,avg_latency,reward,execution_time
23,7.84,600138.5966,-14.0,0.26
episode,avg_pods,avg_latency,reward,execution_time
24,7.44,0.1316,-5.0,0.3
episode,avg_pods,avg_latency,reward,execution_time
25,7.8,240089.9572,-3.0,0.24
episode,avg_pods,avg_latency,reward,execution_time
26,8.56,33884.2416,-1.0,1.55
episode,avg_pods,avg_latency,reward,execution_time
27,8.32,37247.8435,-4.0,0.28
episode,avg_pods,avg_latency,reward,execution_time
28,7.56,352336.1504,-4.0,0.3
episode,avg_pods,avg_latency,reward,execution_time
29,8.32,719538.6919,-6.0,0.26
episode,avg_pods,avg_latency,reward,execution_time
30,8.24,360092.5724,-5.0,0.29
episode,avg_pods,avg_latency,reward,execution_time
31,7.96,36.6691,-9.0,1.56
episode,avg_pods,avg_latency,reward,execution_time
32,8.56,119901.4538,-9.0,0.27
episode,avg_pods,avg_latency,reward,execution_time
33,7.36,560.0223,-9.0,0.25
episode,avg_pods,avg_latency,reward,execution_time
34,9.96,0.2626,-7.0,0.22
episode,avg_pods,avg_latency,reward,execution_time
35,9.28,42891.1595,-6.0,0.23
episode,avg_pods,avg_latency,reward,execution_time
36,8.48,734375.1875,-11.0,1.46
episode,avg_pods,avg_latency,reward,execution_time
37,11.12,2684.0464,-15.0,0.23
episode,avg_pods,avg_latency,reward,execution_time
38,9.72,187245.9253,-11.0,0.25
episode,avg_pods,avg_latency,reward,execution_time
39,7.08,356879.7228,-8.0,0.23
episode,avg_pods,avg_latency,reward,execution_time
40,7.56,713640.2085,-2.0,0.28
episode,avg_pods,avg_latency,reward,execution_time
41,8.64,118941.0975,-13.0,1.58
episode,avg_pods,avg_latency,reward,execution_time
42,8.64,41690.7011,-8.0,0.36
episode,avg_pods,avg_latency,reward,execution_time
43,7.12,1070519.4467,-11.0,0.39
episode,avg_pods,avg_latency,reward,execution_time
44,5.32,479775.5241,-3.0,0.28
episode,avg_pods,avg_latency,reward,execution_time
45,8.88,148609.031,0.0,0.26
episode,avg_pods,avg_latency,reward,execution_time
46,9.56,247226.5458,-9.0,0.22
episode,avg_pods,avg_latency,reward,execution_time
47,8.24,18.0784,-5.0,1.44
episode,avg_pods,avg_latency,reward,execution_time
48,8.0,120.4767,-4.0,0.26
episode,avg_pods,avg_latency,reward,execution_time
